"U.S. Atlantic salmon imports, volume by selected sources (1,000 pounds)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Chile,29,"9,996","14,037","23,164","28,810","24,473","47,146","63,706","74,296","99,611","92,344","139,290","186,729","218,633","237,976","238,138","243,848","223,049","230,852","212,759","128,229","61,416","120,387","206,177","239,624","279,026","284,643","279,459","297,793"
Canada,29,"10,174","18,777","23,051","31,322","41,760","49,687","52,929","79,061","90,616","98,148","106,758","138,030","161,095","119,089","115,650","148,197","165,642","155,452","166,657","157,620","168,766","156,511","193,026","148,547","104,520","177,550","189,077","172,937"
Norway,"3,400","15,872","1,502","1,131","4,081","3,485","5,049","4,348","3,815","6,761","20,871","18,243","14,761","16,057","19,094","11,963","10,648","15,923","22,501","14,402","60,213","80,643","41,557","31,782","40,591","57,896","82,114","82,589","107,224"
United Kingdom,9,"1,533","2,611",704,525,"1,313","1,804","2,985","3,091","6,702","16,647","14,680","13,842","13,335","27,695","20,018","10,786","17,285","25,742","23,376","37,253","34,312","34,970","29,727","27,594","34,070","27,232","20,502","32,067"
Faroe Islands,778,"1,199","2,854","3,427","1,566",440,44,807,"2,026",850,"3,842","5,931","1,828","1,836","4,905","1,952","1,262",460,"3,082","6,540","23,117","20,886","32,926","25,981","33,127","35,606","27,215","30,949","27,906"
China (Mainland),,1,,,,,53,,24,171,141,140,38,171,"1,560","2,656","5,484","10,049","10,544","13,530","14,290","14,447","9,631","12,379","17,785","17,046","2,148",412,"1,730"
Iceland,215,"2,343","1,513",932,"1,032","1,188",771,"1,515","1,264","3,026","8,027","3,006","2,068","1,091","2,558","2,688","1,265","1,455",987,449,176,603,838,"2,684","2,371","3,438","3,177","3,229","3,000"
"Germany, Fed. Republic",,53,,,,40,45,,,,53,,,41,,40,,,,,1,,,,,"3,707","8,404","10,243","11,606"
Denmark,,277,639,269,"1,345",920,830,279,568,"1,025","1,462",778,839,105,174,699,566,93,486,173,"1,458","3,007",895,7,"2,358","2,590",194,537,"2,054"
Ireland,39,693,719,38,250,9,5,0,6,161,360,264,21,280,983,318,645,772,372,341,770,"1,596",710,837,862,606,515,603,569
New Zealand,,5,,18,2,8,32,197,14,17,,,16,139,235,5,71,211,356,579,695,650,535,579,496,458,797,"1,067","1,696"
Poland,,,,,,33,,,,,25,,,,,,,,,439,"2,286","1,153",76,499,480,361,130,239,345
Netherlands,4,38,76,43,,1,40,161,69,133,95,37,5,16,49,7,,,2,,,47,35,36,152,46,104,190,671
Australia,,29,51,92,79,248,108,30,,7,15,8,44,64,,3,7,5,47,92,387,102,3,,,,0,,
France,,,4,,0,,,,1,,,,,,,,,1,,2,,642,222,10,,,,,
Argentina,,,,,3,,1,77,117,,,10,5,2,,5,2,,7,53,98,139,,,,,,,
Thailand,,,5,,,0,,,,,,21,,,,49,,,36,,1,114,158,79,,,,,
Cayman Islands,,,,,,,,,410,,,,,,,,,,,,,,,,,,,,
Sweden,,64,,,56,20,51,105,,,,,,,,,,,,,40,,,,1,8,,,2
Lithuania,,,,,,,,,,,,,,,,,,,,,,279,,,,,,54,
Japan,,,,,,,42,,212,26,8,5,1,,,,1,,3,1,1,1,,,,,,,6
Costa Rica,,,,38,37,3,13,25,2,,6,2,9,6,19,15,,6,2,,2,,12,11,,,8,4,
Ecuador,,,7,,13,10,2,4,29,1,17,,,4,29,13,4,2,3,,14,,12,13,18,,6,,
Russia,,,,,,,,,,,49,54,,,,,,,,,,30,,,,,,,
Venezuela,,,,2,,,,99,,,,,,,,,,,,,,,,,,,2,,
Colombia,,,10,,,,49,13,12,0,,,,,1,,,1,,,,,,3,,5,,,
Belgium,,7,,,,,,,,38,41,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,44,,,,,,,,,,,,,,,,7,,
Trinidad and Tobago,,,,,,,1,43,,,,,,,,3,,,,,,,,,2,1,,,
Mexico,,,,,,,,,8,36,2,1,0,1,,,,,,,,,,0,1,,,,
Greece,,,,,,,,,,33,7,,,,,2,,,,,,,,7,,,,,
Republic of South Africa,,,,,,,,,,,,43,,5,,,,,,,,,,,,,,,
